KR2c0001	通鑑紀事本末-宋-袁樞
KR2c0002	汲冢周書-晉-
KR2c0004	三朝北盟會編-宋-徐夢莘
KR2c0006	炎徼紀聞-明-田汝成
KR2c0008	元史紀事本末-明-陳邦瞻
KR2c0009	平定三逆方略-清-勒德洪
KR2c0019	滇考-清-馮甦
KR2c0020	明史紀事本末-清-谷應泰
KR2c0021	繹史-清-馬驌
KR2d0001	逸周書-晉-孔晁
KR2d0002	東觀漢記-漢-劉珍
KR2d0004	隆平集-宋-曾鞏
KR2d0006	通志-宋-鄭樵
KR2d0008	路史-宋-羅泌
KR2d0011	古今紀要-宋-黃震
KR2d0017	罪惟錄-明-
KR2d0019	御定歷代紀事年表-清-王之樞
KR2d0022	後漢書補逸-清-姚之駰
KR2d0024	尚史-清-李鍇
KR2e0014	太平治迹統類-宋-彭百川
KR2e0020	弇山堂別集-明-王世貞
KR2f0010	唐大詔令集-宋-宋敏求
KR2f0013	包孝肅奏議集-宋-包拯
KR2f0029	譚襄敏奏議-明-譚綸
KR2f0038	宋名臣奏議-宋-趙汝愚
KR2f0039	歷代名臣奏議-明-楊士奇
KR2f0040	名臣經濟錄-明-黃訓
KR2f0041	御選明臣奏議-清-高宗弘曆
KR2g0002	東家雜記-宋-孔傳
KR2g0006	孔氏祖庭廣記-金-
KR2g0007	杜工部年譜-宋-趙子櫟
KR2g0008	杜工部詩年譜-宋-魯訔
KR2g0017	古列女傳-漢-劉向
KR2g0018	高士傳-晉-皇甫謐
KR2g0023	伊洛淵源錄-宋-朱熹
KR2g0040	百越先賢志-明-歐大任
KR2g0043	欽定外藩蒙古囘部王公表傳-清-高宗弘曆
KR2g0046	明儒學案-清-黃宗羲
KR2g0048	東林列傳-清-陳鼎
KR2g0051	史傳三編-清-朱軾
KR2g0052	閩中理學淵源考-清-李清馥
KR2h0001	兩漢博聞-宋-楊侃
KR2h0002	通鑑總類-宋-沈樞
KR2i0003	華陽國志-晉-常璩
KR2i0005	十六國春秋-北魏-崔鴻
KR2i0022	朝鮮史略-明-闕名
KR2j0002	御定月令輯要-清-李光地
KR2k0001	三輔黃圖--闕名
KR2k0002	禁扁-元-王士點
KR2k0003	元和郡縣志-唐-李吉甫
KR2k0007	方輿勝覽-宋-祝穆
KR2k0008	明一統志-明-李賢
KR2k0009	大清一統志-明-和珅
KR2k0012	淳熙三山志-宋-梁克家
KR2k0013	吳郡志-宋-范成大
KR2k0014	新安志-宋-羅願
KR2k0016	會稽志-宋-施宿
KR2k0017	赤城志-宋-陳耆卿
KR2k0021	景定建康志-宋-周應合
KR2k0022	咸淳臨安志-宋-潛說友
KR2k0025	延祐四明志-元-袁桷
KR2k0027	至大金陵新志-元-張鉉
KR2k0029	姑蘇志-明-王鏊
KR2k0035	欽定熱河志-清-和珅
KR2k0036	欽定日下舊聞考-清-于敏中
KR2k0037	天下郡國利病書-淸-
KR2k0038	欽定滿洲源流考-清-阿桂
KR2k0039	欽定皇輿西域圖志-清-傅恒
KR2k0040	欽定盛京通志-清-阿桂
KR2k0042	江南通志-清-趙田恩
KR2k0044	浙江通志-清-嵇曾筠
KR2k0045	福建通志-清-郝玉麟
KR2k0046	湖廣通志-清-邁柱
KR2k0047	河南通志-清-田文鏡
KR2k0048	山東通志-清-岳濬
KR2k0049	山西通志-清-覺羅石麟
KR2k0050	陝西通志-清-劉於義
KR2k0051	甘肅通志-清-許容
KR2k0052	四川通志-清-黃廷桂
KR2k0053	廣東通志-清-郝玉麟
KR2k0055	雲南通志-清-鄂爾泰
KR2k0056	貴州通志-清-鄂爾泰
KR2k0057	歷代帝王宅京記-清-顧炎武
KR2k0058	水經注-後魏-酈道元
KR2k0059	水經注集釋訂訛-清-沈炳巽
KR2k0069	敬止集-明-陳應芳
KR2k0072	欽定河源紀略-清-紀昀
KR2k0078	行水金鑑-清-傅澤洪
KR2k0081	籌海圖編-明-胡宗憲
KR2k0092	長安志-宋-宋敏求
KR2k0094	雍錄-宋-程大昌
KR2k0099	江城名蹟-清-陳弘緒
KR2k0103	關中勝蹟圖志-清-畢沅
KR2k0105	荊楚嵗時記-梁-宗懍
KR2k0126	蜀中廣記-明-曹學佺
KR2k0138	宣和奉使高麗圖經-宋-徐兢
KR2k0145	東西洋考-明-張燮
KR2k0149	皇清職貢圖-清-傅恒
KR2l0001	唐六典-唐-張九齡
KR2l0004	翰苑羣書-宋-洪遵
KR2l0010	禮部志稿-明-林堯俞
KR2l0011	太常續考-明-闕名
KR2l0014	欽定國子監志-清-梁國治
KR2l0015	欽定歷代職官表-清-永瑢
KR2m0001	通典-唐-杜佑
KR2m0002	唐會要-宋-王溥
KR2m0004	宋朝事實-宋-李攸
KR2m0005	建炎以來朝野雜記-宋-李心傳
KR2m0006	西漢會要-宋-徐天麟
KR2m0007	東漢會要-宋-徐天麟
KR2m0009	文獻通考-元-馬端臨
KR2m0014	欽定續文獻通考-清-嵇璜
KR2m0015	皇朝文獻通考-清-高宗弘曆
KR2m0016	欽定續通典-清-嵇璜
KR2m0017	欽定皇朝通典-清-高宗弘曆
KR2m0019	元朝典故編年考-清-孫承澤
KR2m0020	漢官舊儀-漢-衞宏
KR2m0023	政和五禮新儀-宋-鄭居中
KR2m0028	明集禮-明-徐一夔
KR2m0029	頖宮禮樂疏-明-李之藻
KR2m0031	明謚紀彙編-明-郭良翰
